State,City,Label,Regular,Diesel,Mid,Premium
AK,Juneau,Current,3.939,4.285,3.789,3.889
AK,Juneau,Yesterday,3.882,4.351,3.829,4.183
AK,Juneau,Week Ago,4.012,4.417,3.809,4.269
AK,Juneau,Month Ago,4.26,4.656,4.089,4.191
AK,Juneau,Year Ago,4.911,5.269,4.959,5.187
AK,Fairbanks,Current,3.623,4.095,3.818,3.968
AK,Fairbanks,Yesterday,3.62,4.112,3.814,3.998
AK,Fairbanks,Week Ago,3.664,4.069,3.836,3.993
AK,Fairbanks,Month Ago,3.847,4.283,4.025,4.221
AK,Fairbanks,Year Ago,3.303,5.251,3.473,3.684
AK,Anchorage,Current,3.672,4.062,4.013,4.18
AK,Anchorage,Yesterday,3.69,4.093,4.03,4.206
AK,Anchorage,Week Ago,3.806,4.227,4.112,4.315
AK,Anchorage,Month Ago,4.037,4.416,4.356,4.546
AK,Anchorage,Year Ago,3.784,4.609,4.084,4.285
