State,City,Label,Regular,Diesel,Mid,Premium
GA,Atlanta,Current,3.029,4.073,3.492,3.876
GA,Atlanta,Yesterday,3.038,4.083,3.499,3.887
GA,Atlanta,Week Ago,3.096,4.122,3.554,3.94
GA,Atlanta,Month Ago,2.884,4.007,3.337,3.734
GA,Atlanta,Year Ago,2.862,4.74,3.281,3.658
GA,Macon,Current,2.928,3.912,3.335,3.778
GA,Macon,Yesterday,2.933,3.936,3.377,3.775
GA,Macon,Week Ago,2.987,3.983,3.416,3.801
GA,Macon,Month Ago,2.802,3.937,3.289,3.631
GA,Macon,Year Ago,2.784,4.635,3.222,3.596
GA,Savannah,Current,3.099,3.884,3.483,3.885
GA,Savannah,Yesterday,3.095,3.907,3.53,3.883
GA,Savannah,Week Ago,3.128,3.963,3.549,3.917
GA,Savannah,Month Ago,2.954,3.903,3.389,3.801
GA,Savannah,Year Ago,2.84,4.533,3.231,3.614
GA,Augusta-Aiken (GA only),Current,2.885,3.831,3.346,3.736
GA,Augusta-Aiken (GA only),Yesterday,2.895,3.834,3.358,3.749
GA,Augusta-Aiken (GA only),Week Ago,2.965,3.882,3.455,3.807
GA,Augusta-Aiken (GA only),Month Ago,2.775,3.822,3.252,3.656
GA,Augusta-Aiken (GA only),Year Ago,2.757,4.61,3.161,3.413
GA,Columbus (GA only),Current,2.856,3.912,3.197,3.593
GA,Columbus (GA only),Yesterday,2.863,3.92,3.233,3.627
GA,Columbus (GA only),Week Ago,2.932,3.983,3.281,3.674
GA,Columbus (GA only),Month Ago,2.774,3.918,3.175,3.558
GA,Columbus (GA only),Year Ago,2.633,4.537,2.989,3.345
GA,Albany,Current,2.814,3.87,3.203,3.611
GA,Albany,Yesterday,2.821,3.881,3.226,3.587
GA,Albany,Week Ago,2.888,3.946,3.274,3.649
GA,Albany,Month Ago,2.729,3.894,3.12,3.485
GA,Albany,Year Ago,2.597,4.518,2.907,3.329
GA,Athens,Current,2.902,3.938,3.342,3.652
GA,Athens,Yesterday,2.913,3.936,3.323,3.703
GA,Athens,Week Ago,2.968,4.011,3.4,3.773
GA,Athens,Month Ago,2.784,3.866,3.221,3.562
GA,Athens,Year Ago,2.771,4.725,3.16,3.476
GA,Valdosta,Current,2.853,3.707,3.253,3.599
GA,Valdosta,Yesterday,2.862,3.722,3.275,3.628
GA,Valdosta,Week Ago,2.924,3.834,3.31,3.592
GA,Valdosta,Month Ago,2.77,3.767,3.153,3.509
GA,Valdosta,Year Ago,2.768,4.672,3.183,3.525
GA,Brunswick,Current,2.97,3.957,3.406,3.788
GA,Brunswick,Yesterday,2.986,3.966,3.437,3.766
GA,Brunswick,Week Ago,3.025,4.056,3.467,3.825
GA,Brunswick,Month Ago,2.825,3.932,3.232,3.595
GA,Brunswick,Year Ago,2.82,4.688,3.237,3.607
GA,Catoosa-Dade-Walker,Current,2.736,3.821,3.176,3.591
GA,Catoosa-Dade-Walker,Yesterday,2.747,3.842,3.186,3.573
GA,Catoosa-Dade-Walker,Week Ago,2.838,3.864,3.293,3.716
GA,Catoosa-Dade-Walker,Month Ago,2.71,3.801,3.189,3.588
GA,Catoosa-Dade-Walker,Year Ago,2.645,4.583,3.073,3.309
GA,Dalton,Current,2.811,3.865,3.198,3.578
GA,Dalton,Yesterday,2.829,3.877,3.223,3.603
GA,Dalton,Week Ago,2.917,3.951,3.332,3.695
GA,Dalton,Month Ago,2.739,3.807,3.157,3.535
GA,Dalton,Year Ago,2.725,4.521,3.137,3.426
GA,Gainesville,Current,2.954,3.987,3.393,3.776
GA,Gainesville,Yesterday,2.96,4.013,3.367,3.769
GA,Gainesville,Week Ago,3.007,4.066,3.422,3.832
GA,Gainesville,Month Ago,2.745,3.879,3.171,3.527
GA,Gainesville,Year Ago,2.677,4.617,3.14,3.474
GA,Hinesville-Fort Stewart,Current,3.046,3.89,3.494,3.74
GA,Hinesville-Fort Stewart,Yesterday,3.052,3.933,3.432,3.758
GA,Hinesville-Fort Stewart,Week Ago,3.067,3.958,3.57,3.967
GA,Hinesville-Fort Stewart,Month Ago,2.88,3.8,3.164,3.564
GA,Hinesville-Fort Stewart,Year Ago,2.868,4.508,3.267,3.828
GA,Rome,Current,2.885,3.889,3.281,3.708
GA,Rome,Yesterday,2.901,3.89,3.308,3.694
GA,Rome,Week Ago,2.981,3.949,3.385,3.759
GA,Rome,Month Ago,2.724,3.805,3.146,3.516
GA,Rome,Year Ago,2.732,4.574,3.169,3.467
GA,Warner Robins,Current,2.805,3.826,3.161,3.545
GA,Warner Robins,Yesterday,2.815,3.857,3.183,3.563
GA,Warner Robins,Week Ago,2.889,3.906,3.256,3.596
GA,Warner Robins,Month Ago,2.714,3.785,3.117,3.493
GA,Warner Robins,Year Ago,2.603,4.426,2.911,3.279
