State,City,Label,Regular,Diesel,Mid,Premium
HI,Hilo,Current,4.814,5.696,5.056,5.366
HI,Hilo,Yesterday,4.811,5.675,5.058,5.367
HI,Hilo,Week Ago,4.83,5.77,5.016,5.316
HI,Hilo,Month Ago,4.853,5.817,5.14,5.386
HI,Hilo,Year Ago,4.986,6.191,5.169,5.485
HI,Wailuku,Current,4.814,5.718,5.022,5.173
HI,Wailuku,Yesterday,4.815,5.675,4.984,5.135
HI,Wailuku,Week Ago,4.819,5.674,5.037,5.155
HI,Wailuku,Month Ago,4.795,5.766,5.085,5.227
HI,Wailuku,Year Ago,5.207,6.197,5.318,5.373
HI,Honolulu,Current,4.547,5.567,4.792,5.052
HI,Honolulu,Yesterday,4.557,5.579,4.803,5.073
HI,Honolulu,Week Ago,4.557,5.616,4.8,5.063
HI,Honolulu,Month Ago,4.603,5.643,4.851,5.121
HI,Honolulu,Year Ago,5.08,5.978,5.358,5.597
HI,Kahului,Current,4.814,5.718,5.022,5.173
HI,Kahului,Yesterday,4.815,5.675,4.984,5.135
HI,Kahului,Week Ago,4.819,5.674,5.037,5.155
HI,Kahului,Month Ago,4.795,5.766,5.085,5.227
HI,Kahului,Year Ago,5.207,6.197,5.318,5.373
HI,Lihue (Kauai),Current,5.25,6.311,5.548,5.76
HI,Lihue (Kauai),Yesterday,5.255,6.316,5.545,5.797
HI,Lihue (Kauai),Week Ago,5.26,6.399,5.55,5.784
HI,Lihue (Kauai),Month Ago,5.278,6.429,5.559,5.759
HI,Lihue (Kauai),Year Ago,5.487,6.678,5.839,5.977
