State,City,Label,Regular,Diesel,Mid,Premium
MS,Biloxi-Gulfport-Pascagoula,Current,2.488,3.382,2.836,3.224
MS,Biloxi-Gulfport-Pascagoula,Yesterday,2.499,3.396,2.852,3.23
MS,Biloxi-Gulfport-Pascagoula,Week Ago,2.563,3.497,2.931,3.296
MS,Biloxi-Gulfport-Pascagoula,Month Ago,2.701,3.772,3.061,3.441
MS,Biloxi-Gulfport-Pascagoula,Year Ago,2.677,4.325,3.027,3.33
MS,Jackson,Current,2.574,3.581,2.966,3.339
MS,Jackson,Yesterday,2.588,3.596,3.003,3.328
MS,Jackson,Week Ago,2.647,3.653,3.005,3.392
MS,Jackson,Month Ago,2.773,3.836,3.176,3.501
MS,Jackson,Year Ago,2.766,4.436,3.174,3.486
MS,Hattiesburg,Current,2.598,3.672,3.055,3.45
MS,Hattiesburg,Yesterday,2.601,3.658,3.045,3.403
MS,Hattiesburg,Week Ago,2.687,3.765,3.142,3.502
MS,Hattiesburg,Month Ago,2.884,3.888,3.348,3.705
MS,Hattiesburg,Year Ago,2.898,4.615,3.308,3.665
MS,South Haven - Olive Branch,Current,2.652,3.674,3.129,3.502
MS,South Haven - Olive Branch,Yesterday,2.653,3.689,3.128,3.526
MS,South Haven - Olive Branch,Week Ago,2.705,3.759,3.188,3.578
MS,South Haven - Olive Branch,Month Ago,2.791,3.904,3.293,3.663
MS,South Haven - Olive Branch,Year Ago,2.694,4.409,3.198,3.583
