State,City,Label,Regular,Diesel,Mid,Premium
MT,Billings,Current,2.957,3.575,3.249,3.609
MT,Billings,Yesterday,2.958,3.59,3.283,3.625
MT,Billings,Week Ago,3.048,3.762,3.35,3.708
MT,Billings,Month Ago,3.335,3.976,3.621,3.959
MT,Billings,Year Ago,3.013,4.509,3.275,3.655
MT,Great Falls,Current,2.878,3.69,3.166,3.394
MT,Great Falls,Yesterday,2.882,3.687,3.188,3.445
MT,Great Falls,Week Ago,2.982,3.87,3.274,3.517
MT,Great Falls,Month Ago,3.286,3.999,3.56,3.858
MT,Great Falls,Year Ago,2.943,4.546,3.206,3.473
MT,Missoula,Current,2.973,3.659,3.252,3.494
MT,Missoula,Yesterday,2.984,3.662,3.266,3.493
MT,Missoula,Week Ago,3.027,3.854,3.306,3.557
MT,Missoula,Month Ago,3.349,4.005,3.635,3.838
MT,Missoula,Year Ago,3.027,4.529,3.287,3.546
