State,City,Label,Regular,Diesel,Mid,Premium
ND,Bismarck,Current,2.961,3.808,3.246,3.65
ND,Bismarck,Yesterday,2.974,3.815,3.246,3.674
ND,Bismarck,Week Ago,3.068,3.951,3.243,3.757
ND,Bismarck,Month Ago,3.286,4.359,3.515,3.915
ND,Bismarck,Year Ago,3.059,4.468,3.241,3.719
ND,Grand Forks (ND only),Current,2.74,3.955,3.046,3.358
ND,Grand Forks (ND only),Yesterday,2.759,3.943,3.028,3.3
ND,Grand Forks (ND only),Week Ago,2.807,4.044,3.07,3.398
ND,Grand Forks (ND only),Month Ago,3.105,4.336,3.344,3.6
ND,Grand Forks (ND only),Year Ago,2.988,4.338,3.16,3.631
ND,Fargo-Moorhead (ND only),Current,2.884,4.004,3.185,3.583
ND,Fargo-Moorhead (ND only),Yesterday,2.883,4.018,3.176,3.58
ND,Fargo-Moorhead (ND only),Week Ago,2.944,4.057,3.225,3.645
ND,Fargo-Moorhead (ND only),Month Ago,3.106,4.35,3.393,3.796
ND,Fargo-Moorhead (ND only),Year Ago,2.962,4.196,3.236,3.685
ND,Minot,Current,2.844,3.911,3.225,3.589
ND,Minot,Yesterday,2.894,3.891,3.245,3.634
ND,Minot,Week Ago,3.002,4.009,3.353,3.834
ND,Minot,Month Ago,3.245,4.238,3.641,3.997
ND,Minot,Year Ago,3.0,4.338,3.337,3.723
