State,City,Label,Regular,Diesel,Mid,Premium
OK,Oklahoma City,Current,2.535,3.536,2.9,3.163
OK,Oklahoma City,Yesterday,2.525,3.546,2.893,3.162
OK,Oklahoma City,Week Ago,2.595,3.648,2.973,3.234
OK,Oklahoma City,Month Ago,2.85,4.001,3.23,3.47
OK,Oklahoma City,Year Ago,2.701,3.905,3.088,3.29
OK,Tulsa,Current,2.417,3.446,2.651,2.903
OK,Tulsa,Yesterday,2.417,3.464,2.647,2.912
OK,Tulsa,Week Ago,2.488,3.602,2.716,2.993
OK,Tulsa,Month Ago,2.752,4.026,2.982,3.272
OK,Tulsa,Year Ago,2.518,3.704,2.749,3.017
OK,Lawton,Current,4.854,3.5,4.425,5.407
OK,Lawton,Yesterday,4.945,3.556,4.862,5.622
OK,Lawton,Week Ago,4.263,3.664,3.955,4.989
OK,Lawton,Month Ago,2.741,3.946,3.082,3.424
OK,Lawton,Year Ago,2.481,3.858,2.776,2.981
OK,Le Flore-Sequoyah,Current,2.716,3.801,3.093,3.397
OK,Le Flore-Sequoyah,Yesterday,2.736,3.812,3.093,3.406
OK,Le Flore-Sequoyah,Week Ago,2.796,3.881,3.179,3.484
OK,Le Flore-Sequoyah,Month Ago,3.039,4.152,3.383,3.704
OK,Le Flore-Sequoyah,Year Ago,2.725,4.157,3.124,3.465
