State,City,Label,Regular,Diesel,Mid,Premium
OR,Eugene-Springfield,Current,3.6,4.232,3.755,4.05
OR,Eugene-Springfield,Yesterday,3.606,4.255,3.777,4.057
OR,Eugene-Springfield,Week Ago,3.672,4.378,3.876,4.054
OR,Eugene-Springfield,Month Ago,3.924,4.622,4.156,4.349
OR,Eugene-Springfield,Year Ago,3.791,4.851,4.05,4.194
OR,Medford-Ashland,Current,3.822,4.425,4.039,4.306
OR,Medford-Ashland,Yesterday,3.83,4.403,4.038,4.336
OR,Medford-Ashland,Week Ago,3.881,4.446,4.072,4.341
OR,Medford-Ashland,Month Ago,4.121,4.694,4.311,4.571
OR,Medford-Ashland,Year Ago,3.885,4.931,4.12,4.358
OR,Salem,Current,3.696,4.449,3.914,4.119
OR,Salem,Yesterday,3.699,4.453,3.908,4.111
OR,Salem,Week Ago,3.735,4.547,3.949,4.195
OR,Salem,Month Ago,3.942,4.732,4.104,4.377
OR,Salem,Year Ago,3.611,4.938,3.867,4.047
OR,Portland-Vancouver (OR only),Current,4.08,4.724,4.33,4.533
OR,Portland-Vancouver (OR only),Yesterday,4.098,4.728,4.339,4.548
OR,Portland-Vancouver (OR only),Week Ago,4.153,4.799,4.408,4.606
OR,Portland-Vancouver (OR only),Month Ago,4.379,4.952,4.621,4.826
OR,Portland-Vancouver (OR only),Year Ago,3.978,5.194,4.257,4.405
OR,Albany,Current,3.547,3.986,3.656,3.948
OR,Albany,Yesterday,3.549,3.974,3.727,4.009
OR,Albany,Week Ago,3.627,4.078,3.739,4.03
OR,Albany,Month Ago,3.862,4.317,4.043,4.316
OR,Albany,Year Ago,3.528,4.659,3.741,3.947
OR,Bend,Current,3.772,4.287,3.978,4.174
OR,Bend,Yesterday,3.789,4.351,4.016,4.168
OR,Bend,Week Ago,3.839,4.444,4.026,4.25
OR,Bend,Month Ago,4.093,4.739,4.321,4.522
OR,Bend,Year Ago,3.855,5.002,4.155,4.302
OR,Corvallis,Current,3.495,4.046,3.763,3.866
OR,Corvallis,Yesterday,3.548,4.077,3.709,3.856
OR,Corvallis,Week Ago,3.58,4.117,3.759,3.921
OR,Corvallis,Month Ago,3.829,4.316,4.045,4.167
OR,Corvallis,Year Ago,3.518,4.706,3.795,3.974
OR,Grants Pass,Current,3.95,4.506,4.165,4.213
OR,Grants Pass,Yesterday,3.991,4.567,4.203,4.283
OR,Grants Pass,Week Ago,3.991,4.573,4.212,4.307
OR,Grants Pass,Month Ago,4.201,4.862,4.488,4.56
OR,Grants Pass,Year Ago,4.114,5.059,4.26,4.518
OR,Pendleton,Current,3.585,4.093,3.951,4.215
OR,Pendleton,Yesterday,3.614,4.089,4.002,4.229
OR,Pendleton,Week Ago,3.642,4.161,3.908,4.229
OR,Pendleton,Month Ago,3.872,4.416,4.116,4.484
OR,Pendleton,Year Ago,3.879,4.83,4.112,4.421
