State,City,Label,Regular,Diesel,Mid,Premium
SD,Rapid City,Current,3.213,4.022,3.288,3.792
SD,Rapid City,Yesterday,3.207,4.026,3.299,3.783
SD,Rapid City,Week Ago,3.254,4.096,3.344,3.856
SD,Rapid City,Month Ago,3.463,4.348,3.53,4.014
SD,Rapid City,Year Ago,3.189,4.377,3.271,3.743
SD,Sioux Falls,Current,2.862,3.742,3.194,3.675
SD,Sioux Falls,Yesterday,2.875,3.72,3.228,3.689
SD,Sioux Falls,Week Ago,2.93,3.861,3.253,3.76
SD,Sioux Falls,Month Ago,3.14,4.279,3.454,3.994
SD,Sioux Falls,Year Ago,3.079,4.589,3.36,3.901
SD,North Sioux City,Current,2.872,3.316,2.925,3.702
SD,North Sioux City,Yesterday,2.875,3.345,2.802,3.647
SD,North Sioux City,Week Ago,2.946,3.526,2.826,3.826
SD,North Sioux City,Month Ago,3.202,3.869,3.264,4.16
SD,North Sioux City,Year Ago,3.175,4.021,3.569,4.039
