State,City,Label,Regular,Diesel,Mid,Premium
TX,Amarillo,Current,2.468,3.652,2.812,3.14
TX,Amarillo,Yesterday,2.483,3.67,2.831,3.156
TX,Amarillo,Week Ago,2.556,3.813,2.896,3.213
TX,Amarillo,Month Ago,2.787,4.14,3.109,3.416
TX,Amarillo,Year Ago,2.561,4.025,2.847,3.159
TX,Austin-San Marcos,Current,2.548,3.412,2.999,3.328
TX,Austin-San Marcos,Yesterday,2.557,3.424,3.014,3.348
TX,Austin-San Marcos,Week Ago,2.684,3.529,3.139,3.484
TX,Austin-San Marcos,Month Ago,2.799,3.773,3.226,3.566
TX,Austin-San Marcos,Year Ago,2.62,4.091,3.006,3.377
TX,Beaumont-Port Arthur,Current,2.531,3.503,2.989,3.391
TX,Beaumont-Port Arthur,Yesterday,2.534,3.511,2.972,3.414
TX,Beaumont-Port Arthur,Week Ago,2.611,3.601,3.034,3.459
TX,Beaumont-Port Arthur,Month Ago,2.76,3.773,3.246,3.62
TX,Beaumont-Port Arthur,Year Ago,2.617,4.143,3.02,3.435
TX,Corpus Christi,Current,2.571,3.178,2.944,3.289
TX,Corpus Christi,Yesterday,2.599,3.21,2.971,3.304
TX,Corpus Christi,Week Ago,2.592,3.329,2.958,3.293
TX,Corpus Christi,Month Ago,2.889,3.685,3.262,3.576
TX,Corpus Christi,Year Ago,2.517,3.917,2.828,3.147
TX,Dallas,Current,2.454,3.29,2.828,3.153
TX,Dallas,Yesterday,2.469,3.305,2.845,3.18
TX,Dallas,Week Ago,2.609,3.416,2.993,3.325
TX,Dallas,Month Ago,2.844,3.706,3.226,3.549
TX,Dallas,Year Ago,2.664,4.036,3.027,3.345
TX,El Paso,Current,2.685,3.716,3.141,3.457
TX,El Paso,Yesterday,2.694,3.733,3.152,3.466
TX,El Paso,Week Ago,2.778,3.797,3.26,3.555
TX,El Paso,Month Ago,2.916,3.96,3.378,3.695
TX,El Paso,Year Ago,2.751,4.207,3.232,3.468
TX,Fort Worth-Arlington,Current,2.454,3.283,2.823,3.167
TX,Fort Worth-Arlington,Yesterday,2.468,3.292,2.849,3.179
TX,Fort Worth-Arlington,Week Ago,2.61,3.413,2.984,3.331
TX,Fort Worth-Arlington,Month Ago,2.831,3.702,3.227,3.553
TX,Fort Worth-Arlington,Year Ago,2.655,4.011,3.024,3.328
TX,Galveston-Texas City,Current,2.586,3.618,3.091,3.438
TX,Galveston-Texas City,Yesterday,2.58,3.621,3.078,3.465
TX,Galveston-Texas City,Week Ago,2.65,3.688,3.08,3.463
TX,Galveston-Texas City,Month Ago,2.805,3.831,3.296,3.636
TX,Galveston-Texas City,Year Ago,2.673,4.135,3.075,3.401
TX,Houston,Current,2.556,3.561,3.071,3.449
