State,City,Label,Regular,Diesel,Mid,Premium
WI,Eau Claire,Current,2.662,3.566,3.02,3.433
WI,Eau Claire,Yesterday,2.675,3.575,2.985,3.464
WI,Eau Claire,Week Ago,2.758,3.713,3.124,3.56
WI,Eau Claire,Month Ago,3.025,4.067,3.312,3.843
WI,Eau Claire,Year Ago,2.745,4.214,2.988,3.509
WI,Green Bay,Current,2.81,3.888,3.276,3.776
WI,Green Bay,Yesterday,2.822,3.883,3.292,3.782
WI,Green Bay,Week Ago,2.886,3.936,3.398,3.87
WI,Green Bay,Month Ago,3.049,4.175,3.507,4.016
WI,Green Bay,Year Ago,2.781,4.074,3.192,3.721
WI,Janesville-Beloit,Current,2.66,3.698,3.163,3.563
WI,Janesville-Beloit,Yesterday,2.67,3.708,3.156,3.57
WI,Janesville-Beloit,Week Ago,2.775,3.795,3.24,3.636
WI,Janesville-Beloit,Month Ago,3.092,4.021,3.613,3.983
WI,Janesville-Beloit,Year Ago,2.758,4.053,3.211,3.583
WI,Madison,Current,2.734,3.784,3.319,3.659
WI,Madison,Yesterday,2.752,3.806,3.362,3.686
WI,Madison,Week Ago,2.868,3.879,3.419,3.77
WI,Madison,Month Ago,3.084,4.076,3.637,3.978
WI,Madison,Year Ago,2.823,4.027,3.286,3.68
WI,Milwaukee-Waukesha,Current,2.62,3.748,3.132,3.542
WI,Milwaukee-Waukesha,Yesterday,2.645,3.777,3.147,3.573
WI,Milwaukee-Waukesha,Week Ago,2.791,3.866,3.299,3.691
WI,Milwaukee-Waukesha,Month Ago,3.016,4.081,3.491,3.901
WI,Milwaukee-Waukesha,Year Ago,2.765,4.345,3.213,3.637
WI,La Crosse (WI only),Current,2.67,3.772,3.039,3.651
WI,La Crosse (WI only),Yesterday,2.68,3.779,3.043,3.66
WI,La Crosse (WI only),Week Ago,2.785,3.87,3.285,3.778
WI,La Crosse (WI only),Month Ago,3.114,4.027,3.459,4.128
WI,La Crosse (WI only),Year Ago,2.766,3.921,3.122,3.682
WI,Appleton,Current,2.701,3.764,3.245,3.689
WI,Appleton,Yesterday,2.73,3.766,3.253,3.7
WI,Appleton,Week Ago,2.82,3.798,3.328,3.77
WI,Appleton,Month Ago,3.011,4.079,3.55,3.974
WI,Appleton,Year Ago,2.604,3.949,3.087,3.521
WI,Fond du Lac,Current,2.697,3.772,3.229,3.636
WI,Fond du Lac,Yesterday,2.731,3.788,3.263,3.661
WI,Fond du Lac,Week Ago,2.837,3.848,3.339,3.756
WI,Fond du Lac,Month Ago,3.088,4.099,3.617,3.965
WI,Fond du Lac,Year Ago,2.762,3.931,3.241,3.662
WI,Kenosha County,Current,2.729,3.846,3.307,3.689
WI,Kenosha County,Yesterday,2.753,3.878,3.288,3.703
WI,Kenosha County,Week Ago,2.872,3.942,3.403,3.816
WI,Kenosha County,Month Ago,3.079,4.192,3.585,3.989
WI,Kenosha County,Year Ago,2.717,4.36,3.139,3.579
WI,Oshkosh,Current,2.743,3.836,3.167,3.652
WI,Oshkosh,Yesterday,2.767,3.845,3.206,3.687
WI,Oshkosh,Week Ago,2.839,3.89,3.332,3.732
WI,Oshkosh,Month Ago,3.063,4.107,3.53,3.959
WI,Oshkosh,Year Ago,2.646,4.147,3.07,3.558
WI,Pierce -St. Croix County,Current,2.95,3.784,3.33,3.755
WI,Pierce -St. Croix County,Yesterday,2.956,3.797,3.304,3.725
WI,Pierce -St. Croix County,Week Ago,2.979,3.905,3.344,3.791
WI,Pierce -St. Croix County,Month Ago,3.181,4.126,3.59,4.003
WI,Pierce -St. Croix County,Year Ago,2.911,4.413,3.29,3.733
WI,Racine,Current,2.709,3.819,3.198,3.596
WI,Racine,Yesterday,2.725,3.833,3.194,3.6
WI,Racine,Week Ago,2.84,3.878,3.355,3.735
WI,Racine,Month Ago,3.056,4.087,3.508,3.916
WI,Racine,Year Ago,2.751,4.353,3.185,3.61
WI,Sheboygan,Current,2.79,3.637,3.379,3.836
WI,Sheboygan,Yesterday,2.799,3.634,3.42,3.824
WI,Sheboygan,Week Ago,2.868,3.727,3.422,3.842
WI,Sheboygan,Month Ago,3.128,3.971,3.667,4.058
WI,Sheboygan,Year Ago,2.688,4.169,3.064,3.554
WI,Superior,Current,2.83,4.099,3.399,3.699
WI,Superior,Yesterday,2.848,4.139,3.399,3.699
WI,Superior,Week Ago,2.992,4.126,3.319,3.835
WI,Superior,Month Ago,3.171,4.417,3.399,3.998
WI,Superior,Year Ago,3.196,4.406,3.416,4.003
WI,Wausau,Current,2.743,3.744,3.301,3.711
WI,Wausau,Yesterday,2.782,3.765,3.355,3.743
WI,Wausau,Week Ago,2.855,3.801,3.443,3.788
WI,Wausau,Month Ago,3.055,4.043,3.643,3.97
WI,Wausau,Year Ago,2.752,4.176,3.231,3.683
